state,state_name,county,fipscounty,fipsstate,ssacounty,ssastate,population,income
AK,Alaska,Aleutians East Borough,2013,2,2013,2,3138,206863236.0
AK,Alaska,Aleutians West Census Area,2016,2,2016,2,5362,459452790.0
AK,Alaska,Anchorage Municipality,2020,2,2020,2,291901,26664844813.092503
AK,Alaska,Bethel Census Area,2050,2,2050,2,17001,1138527570.0960002
AK,Alaska,Bristol Bay Borough,2060,2,2060,2,1057,91553206.87239999
AK,Alaska,Denali Borough,2068,2,2068,2,1743,136400479.6455
AK,Alaska,Dillingham Census Area,2070,2,2070,2,4847,351670049.7595
AK,Alaska,Fairbanks North Star Borough,2090,2,2090,2,97640,7904207872.3828
AK,Alaska,Haines Borough,2100,2,2100,2,2602,166785271.449
AK,Alaska,Hoonah-Angoon Census Area,2105,2,2105,2,2055,111648150.0
AK,Alaska,Juneau City and Borough,2110,2,2110,2,31275,2789907791.0532
AK,Alaska,Kenai Peninsula Borough,2122,2,2122,2,55398,3922652479.3113003
AK,Alaska,Ketchikan Gateway Borough,2130,2,2130,2,13508,979197009.6876
AK,Alaska,Kodiak Island Borough,2150,2,2150,2,13579,1010927567.5206999
AK,Alaska,Lake and Peninsula Borough,2164,2,2164,2,1564,87113236.0
AK,Alaska,Matanuska-Susitna Borough,2170,2,2170,2,88897,6966907601.523001
AK,Alaska,Nome Census Area,2180,2,2180,2,9492,604521582.9732
AK,Alaska,North Slope Borough,2185,2,2185,2,6838,562466994.0
AK,Alaska,Northwest Arctic Borough,2188,2,2188,2,3201,216941069.5452
AK,Alaska,Petersburg Census Area,2195,2,2195,2,3815,279513605.0
AK,Alaska,Prince of Wales-Hyder Census Area,2198,2,2198,2,5526,319324067.176
AK,Alaska,Sitka City and Borough,2220,2,2220,2,8880,648859276.992
AK,Alaska,Skagway Municipality,2230,2,2230,2,968,90819696.0
AK,Alaska,Southeast Fairbanks Census Area,2240,2,2240,2,7157,524275456.24369997
AK,Alaska,Valdez-Cordova Census Area,2261,2,2261,2,9581,708232781.3724
AK,Alaska,Wade Hampton Census Area,2270,2,2270,2,7459,353526764.0
AK,Alaska,Wrangell City and Borough,2275,2,2275,2,2369,164870555.0
AK,Alaska,Yakutat City and Borough,2282,2,2282,2,662,52345002.0
AK,Alaska,Yukon-Koyukuk Census Area,2290,2,2290,2,5637,259419652.3702
AL,Alabama,Autauga County,1001,1,1000,1,76606,3961368581.2191
