STATE,County_Name,fipscounty,fipsstate,ssacounty,ssastate,population,income
AK,Aleutians East Borough,2013,2,2013,2,3138,206863236.0
AK,Aleutians West Census Area,2016,2,2016,2,5362,459452790.0
AK,Anchorage Municipality,2020,2,2020,2,291901,26664844813.092503
AK,Bethel Census Area,2050,2,2050,2,17001,1138527570.0960002
AK,Bristol Bay Borough,2060,2,2060,2,1057,91553206.87239999
AK,Denali Borough,2068,2,2068,2,1743,136400479.6455
AK,Dillingham Census Area,2070,2,2070,2,4847,351670049.7595
AK,Fairbanks North Star Borough,2090,2,2090,2,97640,7904207872.3828
AK,Haines Borough,2100,2,2100,2,2602,166785271.449
AK,Hoonah-Angoon Census Area,2105,2,2105,2,2055,111648150.0
AK,Juneau City and Borough,2110,2,2110,2,31275,2789907791.0532
AK,Kenai Peninsula Borough,2122,2,2122,2,55398,3922652479.3113003
AK,Ketchikan Gateway Borough,2130,2,2130,2,13508,979197009.6876
AK,Kodiak Island Borough,2150,2,2150,2,13579,1010927567.5206999
AK,Lake and Peninsula Borough,2164,2,2164,2,1564,87113236.0
AK,Matanuska-Susitna Borough,2170,2,2170,2,88897,6966907601.523001
AK,Nome Census Area,2180,2,2180,2,9492,604521582.9732
AK,North Slope Borough,2185,2,2185,2,6838,562466994.0
AK,Northwest Arctic Borough,2188,2,2188,2,3201,216941069.5452
AK,Petersburg Census Area,2195,2,2195,2,3815,279513605.0
AK,Prince of Wales-Hyder Census Area,2198,2,2198,2,5526,319324067.176
AK,Sitka City and Borough,2220,2,2220,2,8880,648859276.992
AK,Skagway Municipality,2230,2,2230,2,968,90819696.0
AK,Southeast Fairbanks Census Area,2240,2,2240,2,7157,524275456.24369997
AK,Valdez-Cordova Census Area,2261,2,2261,2,9581,708232781.3724
AK,Wade Hampton Census Area,2270,2,2270,2,7459,353526764.0
AK,Wrangell City and Borough,2275,2,2275,2,2369,164870555.0
AK,Yakutat City and Borough,2282,2,2282,2,662,52345002.0
AK,Yukon-Koyukuk Census Area,2290,2,2290,2,5637,259419652.3702
AL,Autauga County,1001,1,1000,1,108787,6153966982.848
AL,Baldwin County,1003,1,1010,1,202214,12835949430.219902
AL,Barbour County,1005,1,1020,1,29164,1113979774.7776
AL,Bibb County,1007,1,1030,1,60257,3632903269.1434
AL,Blount County,1009,1,1040,1,157038,8846698810.083399
AL,Bullock County,1011,1,1050,1,63578,3572708862.1167
AL,Butler County,1013,1,1060,1,28207,1169734194.1046
AL,Calhoun County,1015,1,1070,1,142424,7234421548.841499
AL,Chambers County,1017,1,1080,1,73681,3307063216.7065
AL,Cherokee County,1019,1,1090,1,98086,4747659972.5659
AL,Chilton County,1021,1,1100,1,74729,4207800057.7264
AL,Choctaw County,1023,1,1110,1,17644,768606688.0511999
AL,Clarke County,1025,1,1120,1,30117,1380755135.3071003
AL,Clay County,1027,1,1130,1,56774,2557364286.8897
