,ZIP,state,county,ssastate,ssacounty,fipsstate,fipscounty,population,income,SSA_State_Code,State,state_name
0,36003,AL,Autauga County,1,1000,1,1001,1975,90492525.0,1,AL,Alabama
1,36006,AL,Autauga County,1,1000,1,1001,1313,67581939.00899999,1,AL,Alabama
2,36051,AL,Autauga County,1,1000,1,1001,2304,125144934.912,1,AL,Alabama
3,36067,AL,Autauga County,1,1000,1,1001,26954,1760363977.2084,1,AL,Alabama
4,36091,AL,Autauga County,1,1000,1,1001,3648,164277755.616,1,AL,Alabama
5,36701,AL,Autauga County,1,1000,1,1001,24268,1159253978.574,1,AL,Alabama
6,36703,AL,Autauga County,1,1000,1,1001,13643,469812851.4905,1,AL,Alabama
7,36749,AL,Autauga County,1,1000,1,1001,1089,53624233.515599996,1,AL,Alabama
8,36758,AL,Autauga County,1,1000,1,1001,1412,70816385.8936,1,AL,Alabama
9,36480,AL,Baldwin County,1,1010,1,1003,1773,79946528.81040001,1,AL,Alabama
10,36507,AL,Baldwin County,1,1010,1,1003,19090,1107106227.418,1,AL,Alabama
11,36511,AL,Baldwin County,1,1010,1,1003,764,42116264.0,1,AL,Alabama
12,36526,AL,Baldwin County,1,1010,1,1003,27890,2115312690.793,1,AL,Alabama
13,36527,AL,Baldwin County,1,1010,1,1003,12109,1071833753.5760001,1,AL,Alabama
14,36530,AL,Baldwin County,1,1010,1,1003,6873,352938856.7508,1,AL,Alabama
15,36532,AL,Baldwin County,1,1010,1,1003,27829,1987491897.6915,1,AL,Alabama
16,36535,AL,Baldwin County,1,1010,1,1003,26767,1458702649.469,1,AL,Alabama
17,36542,AL,Baldwin County,1,1010,1,1003,12705,861416311.833,1,AL,Alabama
18,36549,AL,Baldwin County,1,1010,1,1003,4271,216744796.83679998,1,AL,Alabama
19,36550,AL,Baldwin County,1,1010,1,1003,217,11787440.0,1,AL,Alabama
20,36551,AL,Baldwin County,1,1010,1,1003,8258,497474516.7532,1,AL,Alabama
21,36555,AL,Baldwin County,1,1010,1,1003,654,36052404.0,1,AL,Alabama
22,36559,AL,Baldwin County,1,1010,1,1003,233,18227802.3562,1,AL,Alabama
23,36561,AL,Baldwin County,1,1010,1,1003,5808,543529498.8816,1,AL,Alabama
24,36562,AL,Baldwin County,1,1010,1,1003,1596,78595092.1392,1,AL,Alabama
25,36564,AL,Baldwin County,1,1010,1,1003,107,8606759.0,1,AL,Alabama
26,36567,AL,Baldwin County,1,1010,1,1003,12672,736216237.7856001,1,AL,Alabama
27,36574,AL,Baldwin County,1,1010,1,1003,1341,77975127.0,1,AL,Alabama
28,36576,AL,Baldwin County,1,1010,1,1003,4143,239419604.5209,1,AL,Alabama
29,36578,AL,Baldwin County,1,1010,1,1003,1749,108383227.09169999,1,AL,Alabama
30,36579,AL,Baldwin County,1,1010,1,1003,1590,86368800.0,1,AL,Alabama
31,36580,AL,Baldwin County,1,1010,1,1003,5420,282204249.47400004,1,AL,Alabama
32,36016,AL,Barbour County,1,1020,1,1005,5150,215349420.21,1,AL,Alabama
33,36017,AL,Barbour County,1,1020,1,1005,3318,116939594.6544,1,AL,Alabama
34,36048,AL,Barbour County,1,1020,1,1005,1459,57912249.2408,1,AL,Alabama
